id,current,real_power_from,reactive_power_from,real_power_to,reactive_power_to,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
34,871.0619254366632,-505.5616276734364,-91.13297909979109,507.9999999737677,139.90042510641646,9.0E-4,0.018,0.0,900.0,900.0,-1011.1224080982216,1.009,0.0,-360.0,360.0
35,1040.434932121943,-603.2283906439267,-139.35122008887234,606.2933839643581,166.87794193544215,8.0E-4,0.014,0.2565,900.0,900.0,-1206.4528224289138,0.0,0.0,-360.0,360.0
36,71.61202619978108,43.70661460371755,1.41406734270082,-43.69493710130707,-20.480390530326545,6.0E-4,0.0096,0.1846,600.0,600.0,87.4144299341169,0.0,0.0,-360.0,360.0
37,1099.548167000449,-649.9999997382122,-168.292009234085,649.9999997382121,230.02594988928058,0.0,0.0143,0.0,900.0,900.0,-1299.9999999675633,1.025,0.0,-360.0,360.0
38,586.7803495085559,354.6377225179407,47.93679701364137,-351.8873967996119,-40.9378823982254,0.0022,0.035,0.361,600.0,600.0,709.275801962941,0.0,0.0,-360.0,360.0
39,933.9192871908003,-558.4427863644548,-112.05640641822922,559.9999997858696,196.76881654319797,5.0E-4,0.0272,0.0,900.0,900.0,-1116.8847373583983,1.0,0.0,-360.0,360.0
40,110.2467466220362,67.7264784298748,-1.6916445650923249,-67.56661765797305,-52.29647747808474,0.0032,0.0323,0.531,600.0,600.0,129.65399893579317,0.0,0.0,-360.0,360.0
41,879.7997936152781,-538.3416380327271,49.85016420112392,539.9999964779848,14.273029015503713,6.0E-4,0.0232,0.0,900.0,900.0,-1076.6832429235792,1.025,0.0,-360.0,360.0
42,451.09568458650546,259.32996254303856,89.8546349177962,-258.28049543468836,-103.2466097740285,0.0014,0.0147,0.2396,600.0,600.0,512.8829785024062,0.0,0.0,-360.0,360.0
43,235.14109021559995,-140.7694827511676,-25.52279016324841,141.6006501037192,-46.28869071100156,0.0043,0.0474,0.7802,600.0,600.0,-281.53984560441495,0.0,0.0,-360.0,360.0
44,315.89971191273065,-189.99386187993161,-29.03536720014272,192.0110878237457,-55.78957957802369,0.0057,0.0625,1.029,600.0,600.0,-379.98651839953857,0.0,0.0,-360.0,360.0
45,571.4968965956493,-347.6006501476105,18.688690741288273,349.2421529896947,-26.891563446194702,0.0014,0.0151,0.249,600.0,600.0,-695.2022204196641,0.0,0.0,-360.0,360.0
46,1355.2543325281927,-824.7532416966106,55.781143087930694,829.9999997826632,46.53063959009036,8.0E-4,0.0156,0.0,1200.0,1200.0,-1649.5063414386725,1.025,0.0,-360.0,360.0
